Faixas de Rodagem,Largura Via 1,Largura Via 2,Largura Passeio 1,largura Passeio 2,largura Canteiro Central,altura da luminaria,projecao do braço,distancia entre postes,distancia Poste a via,Altura de Instalação,Classificação viária,Tipo de estrutura,posteacao,Braço Novo,Fornecedor,Luminância Média,Fator de Uniformidade,Uniformidade Longitudinal,Iluminância Média,Iluminância mínima horizontal E (lux),Potencia simulada - IP Principal (W),arquivo_origem
2.0,7.0,5.0,2.5,0.0,3.5,7.0,1.3,32.0,0.3,,C5,Braço,Unilateral,Longo II,SX LIGHTING,,0.64,,8.09,1.67,60.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,5.0,2.5,0.0,3.5,7.0,1.3,32.0,0.3,,C5,Braço,Unilateral,Longo II,TECNOWATT,,0.58,,7.84,3.61,68.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,33.0,0.3,,C5,Braço,Unilateral,,LEDSTAR,,0.41,,9.48,2.72,35.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,33.0,0.3,,C5,Braço,Unilateral,,SX LIGHTING,,0.45,,9.16,1.8,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,33.0,0.3,,C5,Braço,Unilateral,,TECNOWATT,,0.53,,9.02,3.18,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,4.5,0.0,4.5,4.5,0.0,7.0,2.5,37.9,5.0,,C5,Braço,Unilateral,,LEDSTAR,,0.38,,8.31,1.85,44.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,4.5,0.0,4.5,4.5,0.0,7.0,2.5,37.9,5.0,,C5,Braço,Unilateral,Longo II,SX LIGHTING,,0.64,,7.57,1.97,39.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,4.5,0.0,4.5,4.5,0.0,7.0,2.5,37.9,5.0,,C5,Braço,Unilateral,Longo II,TECNOWATT,,0.61,,8.9,2.16,40.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,34.0,0.5,,C5,Braço,Unilateral,,LEDSTAR,,0.4,,9.14,2.6,35.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,34.0,0.5,,C5,Braço,Unilateral,,SX LIGHTING,,0.38,,8.52,1.0,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,7.0,0.0,2.5,2.5,0.0,7.0,1.3,34.0,0.5,,C5,Braço,Unilateral,,TECNOWATT,,0.43,,11.51,2.75,40.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,8.0,0.0,2.5,2.5,0.0,6.0,1.3,37.3,0.3,,C5,Braço,Unilateral,,LEDSTAR,,0.19,,8.85,0.73,35.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,8.0,0.0,2.5,2.5,0.0,6.0,1.3,37.3,0.3,,C5,Braço,Unilateral,Médio I,SX LIGHTING,,0.24,,7.9,0.64,31.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,8.0,0.0,2.5,2.5,0.0,6.0,1.3,37.3,0.3,,C5,Braço,Unilateral,Médio I,TECNOWATT,,0.36,,7.76,1.75,30.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,4.5,0.0,4.0,3.0,0.0,7.0,2.2,20.1,0.4,,C2,Braço,Unilateral,,LEDSTAR,,0.69,,22.63,7.7,52.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,4.5,0.0,4.0,3.0,0.0,7.0,2.2,20.1,0.4,,C2,Braço,Unilateral,,SX LIGHTING,,0.81,,26.73,6.88,50.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,4.5,0.0,4.0,3.0,0.0,7.0,2.2,20.1,0.4,,C2,Braço,Unilateral,,TECNOWATT,,0.72,,25.15,7.52,50.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
2.0,4.0,0.0,4.0,4.0,0.0,8.0,2.3,26.45,0.4,,C3,Braço,Unilateral,,LEDSTAR,,0.62,,15.51,5.53,52.0,BRDE04 - Simul_Tramanda_corrigida_TB_AO_PS_TB.xlsx
